reg;gen;planting_date;lon;lat;mai
BA;CLZ001;29/12/2011;-39.9327;-17.8822;-0.957300862
BA;CLZ001;29/12/2011;-39.9402;-17.8826;-1.379195638
BA;CLZ001;29/12/2011;-39.9396;-17.879;-1.964319615
BA;CLZ004;31/05/2011;-40.1344;-17.5775;-0.876810605
BA;CLZ004;31/05/2011;-40.12813077;-17.58013077;-1.333093281
BA;CLZ004;30/06/2011;-40.11649091;-17.58242727;-1.729058617
BA;CLZ003;30/06/2008;-39.76426364;-17.60860909;-0.488244406
BA;CLZ003;30/06/2008;-39.7689;-17.6157;-1.036410265
BA;CLZ003;31/01/2009;-39.78996667;-17.47296667;-0.090396823
BA;CLZ003;30/11/2008;-39.7928;-17.46642857;0.477201391
BA;CLZ003;30/11/2008;-39.791;-17.4681;0.134714581
BA;CLZ003;30/11/2008;-39.79028333;-17.46056667;-0.238699131
BA;CLZ003;31/01/2009;-39.7797;-17.4679;-0.144403909
BA;CLZ003;31/01/2009;-39.7798;-17.47125;0.41135372
BA;CLZ002;31/05/2010;-39.93475;-17.53645;0.849743853
BA;CLZ001;30/06/2010;-39.95562;-17.54486;-0.218266766
BA;CLZ002;30/06/2010;-39.9488;-17.53975;-0.349374014
BA;CLZ002;30/06/2010;-39.951225;-17.541275;-0.221220597
BA;CLZ002;31/05/2010;-40.05625;-17.5297;-0.509983254
BA;CLZ001;31/05/2010;-40.0501;-17.53113333;-0.576318072
BA;CLZ001;30/06/2010;-40.05545;-17.53411667;-1.320697079
BA;CLZ001;30/06/2010;-40.0575;-17.5343;-0.79943258
BA;CLZ005;30/11/2010;-39.94145;-17.5508;-0.590200123
BA;CLZ005;30/11/2010;-39.9415;-17.5434;-0.466581639
BA;CLZ005;30/11/2010;-39.9391;-17.5463;-1.055196975
BA;CLZ001;30/12/2010;-40.108;-17.5028;-1.046014262
BA;CLZ001;30/12/2010;-40.10645;-17.50395;-0.914767512
BA;CLZ004;28/02/2011;-39.7748;-17.5914;0.261394015
BA;CLZ004;28/02/2011;-39.77025;-17.5898;0.304566169
BA;CLZ004;20/07/2012;-40.11283;-17.63591;-1.212559076
BA;CLZ004;26/07/2012;-40.0049;-17.6549;-0.066704438
BA;CLZ004;26/07/2012;-40.0013;-17.6564;-1.127774432
BA;CLZ004;24/07/2012;-39.9022;-17.5871;-0.821996647
BA;CLZ004;30/08/2012;-39.79705;-17.6336;0.201788683
BA;CLZ004;30/10/2012;-40.04058889;-17.51494444;-1.453194614
BA;CLZ004;24/10/2012;-39.76001111;-17.67025556;0.114966713
BA;CLZ001;24/10/2012;-39.76483333;-17.6631;0.132234034
BA;CLZ004;24/10/2012;-39.7634;-17.6626;-0.012575629
BA;CLZ001;24/10/2012;-39.7538;-17.66155;0.338711769
BA;CLZ004;24/10/2012;-39.75854286;-17.66322857;0.216759597
BA;CLZ001;29/11/2012;-39.8983;-17.86575;-0.652009501
BA;CLZ004;29/11/2012;-39.8138;-17.6367;-1.016948792
BA;CLZ001;29/11/2012;-39.81305;-17.6362;-0.732874323
BA;CLZ001;29/11/2012;-39.8235;-17.62417143;-0.813018258
BA;CLZ004;26/12/2012;-39.8411;-17.6158;-0.847910352
BA;CLZ004;26/12/2012;-39.8487;-17.6183;-1.107805593
BA;CLZ001;26/12/2012;-39.79453333;-17.67756667;-0.51516606
BA;CLZ004;26/12/2012;-39.79525;-17.67985;-1.175105149
BA;CLZ001;29/11/2012;-39.7976;-17.6307;0.005265678
BA;CLZ001;26/12/2012;-39.79485;-17.6757;-0.613170934
BA;CLZ004;26/04/2013;-40.01233333;-17.64303333;-1.21145038
BA;CLZ004;26/04/2013;-40.0123;-17.6421;-1.088876957
BA;CLZ004;26/04/2013;-40.01076667;-17.64306667;-1.384332862
BA;CLZ004;26/04/2013;-40.01635;-17.64525;-0.900428189
BA;CLZ001;27/09/2013;-39.7799;-17.7327;-0.870671135
BA;CLZ001;27/09/2013;-39.7784;-17.7342;-0.787250754
BA;CLZ001;27/09/2013;-39.77545;-17.73355;-0.739022578
BA;CLZ004;27/09/2013;-40.1051;-17.47535;-0.283030895
BA;CLZ004;27/09/2013;-40.1082;-17.4753;0.070527665
BA;CLZ004;27/09/2013;-39.73296667;-17.49406667;-1.181331995
BA;CLZ004;27/09/2013;-39.7312;-17.4873;-1.344692157
BA;CLZ004;27/09/2013;-39.7313;-17.4888;-1.270392788
BA;CLZ004;27/09/2013;-39.7338;-17.498;-0.141838203
BA;CLZ001;27/09/2013;-39.7325;-17.48805;-1.085484142
BA;CLZ001;27/09/2013;-39.7327;-17.4845;-1.088481007
BA;CLZ001;27/09/2013;-39.7329;-17.4898;-1.095611578
BA;CLZ001;31/08/2010;-39.75405;-17.626;0.261563319
BA;CLZ001;31/08/2010;-39.7523;-17.6243;0.403778234
BA;CLZ001;31/08/2010;-39.7524;-17.6272;0.0754436
BA;CLZ004;30/11/2011;-39.78112;-17.86156;0.18788186
BA;CLZ004;31/10/2011;-39.80031818;-17.86802727;0.155374949
BA;CLZ004;31/10/2011;-39.8039;-17.9405;1.808246254
BA;CLZ004;30/11/2011;-39.71466364;-17.80554545;0.418336563
BA;CLZ004;30/11/2011;-39.7216;-17.8072;0.629055989
BA;CLZ004;30/11/2011;-39.71606667;-17.8059;0.678177787
BA;CLZ004;30/11/2011;-39.7141;-17.8075;0.439676552
BA;CLZ004;31/10/2011;-39.70673333;-17.80333333;0.457203041
BA;CLZ004;31/10/2011;-39.70626667;-17.8038;0.241370602
BA;CLZ004;31/10/2011;-39.70665;-17.8047;0.914360328
BA;CLZ003;30/09/2008;-39.68835;-17.999;2.080656207
BA;CLZ003;30/09/2008;-39.6885;-18.003;3.593220033
BA;CLZ003;27/08/2008;-39.7929;-17.8623;-1.659390698
BA;CLZ003;30/09/2008;-39.7983;-17.8626;-0.870080683
BA;CLZ003;31/12/2008;-39.79218333;-17.87073333;-1.167039912
BA;CLZ003;30/09/2008;-39.8011;-17.8819;-1.622109507
BA;CLZ003;30/09/2008;-39.80265;-17.890675;-1.001355254
BA;CLZ003;30/09/2009;-39.7745;-17.8799;-1.201589454
